Security Code,Security Id,Security Name
500490,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.
500493,BHARATFORG,BHARAT FORGE LTD.
500495,ESCORTS,ESCORTS LTD.
500500,HINDMOTORS,HINDUSTAN MOTORS LTD.
500510,LT,LARSEN & TOUBRO LTD.
500520,M&M,MAHINDRA & MAHINDRA LTD.
500530,BOSCHLTD,BOSCH LTD.
500540,PREMIER,PREMIER LTD.
500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.
500550,SIEMENS,SIEMENS LTD.
500570,TATAMOTORS,TATA MOTORS LTD.
500575,VOLTAS,VOLTAS LTD.
500620,GESHIP,GREAT EASTERN SHIPPING CO.LTD.
500645,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
500650,EXCELINDUS,EXCEL INDUSTRIES LTD.
500655,GARWARPOLY,GARWARE POLYESTER LTD.
500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
500670,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
500672,NOVARTIND,NOVARTIS INDIA LTD.
500674,SANOFI,Sanofi India Ltd
500680,PFIZER,PFIZER LTD.
500690,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
500696,HINDUNILVR,HINDUSTAN UNILEVER LTD.
500710,AKZOINDIA,Akzo Nobel India Limited
500730,NOCIL,NOCIL LTD.
500770,TATACHEM,TATA CHEMICALS LTD.
500777,TNPETRO,TAMILNADU PETROPRODUCTS LTD.
500780,ZUARIGLOB,ZUARI GLOBAL LTD.
500790,NESTLEIND,NESTLE INDIA LTD.
500800,TATACONSUM,Tata Consumer Products Ltd
500820,ASIANPAINT,ASIAN PAINTS LTD.
500825,BRITANNIA,BRITANNIA INDUSTRIES LTD.
500830,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
500840,EIHOTEL,EIH LTD.
500850,INDHOTEL,INDIAN HOTELS CO.LTD.
500870,CASTROLIND,CASTROL INDIA LTD.
500875,ITC,ITC LTD.
500877,APOLLOTYRE,APOLLO TYRES LTD.
